code,MC_seed=1,MC_seed=2
501,-1.2293022665922713e-05,-8.651564569123096e-06
502,-1.146893605678454e-05,-7.009210304312471e-06
503,-1.0328137062410887e-05,-5.7705959441965455e-06
504,-8.231240793199327e-06,-5.212904925586874e-06
505,-7.090441797451882e-06,-3.974290566489014e-06
506,-6.266355189953889e-06,-2.3319363056375163e-06
507,-5.125556193298099e-06,-1.0933219466337653e-06
508,-4.14893317660309e-06,-2.1854703109995977e-08
509,-3.0081341784601e-06,1.2167596569625074e-06
510,-2.1840475718225847e-06,2.8591139163895805e-06
511,-1.0432485727701114e-06,4.097728276366999e-06
512,1.3045396455611336e-06,-4.0099993813239206e-06
513,2.4453386417759787e-06,-2.7713850229949227e-06
514,3.269425243606196e-06,-1.1290307638116867e-06
515,4.4102242407293856e-06,1.0958359442363608e-07
516,5.386847255512838e-06,1.1810508378834917e-06
517,6.52764625412339e-06,2.419665197186862e-06
518,7.3517328550909075e-06,4.062019454945727e-06
519,8.492531854609696e-06,5.300633814156182e-06
520,1.0589428111921432e-05,5.858324820043987e-06
521,1.1730227112813092e-05,7.096939178233774e-06
522,1.2554313712139669e-05,8.739293432032916e-06
523,1.3695112713938806e-05,9.977907790128485e-06
524,1.4671735730529677e-05,1.1049375038484706e-05
525,1.5812534733818508e-05,1.2287989397648214e-05
526,1.66366213322813e-05,1.3930343650023094e-05
527,1.7777420336476308e-05,1.5168958009093903e-05
528,1.96950615142843e-05,1.6783849944240997e-05
529,2.0835860519105706e-05,1.8022464306538066e-05
530,2.1659947115530904e-05,1.9664818560124e-05
531,2.2800746121261033e-05,2.0903432922327882e-05
532,2.3777369139068108e-05,2.19749001798165e-05
533,2.4918168146286087e-05,2.3213514543086317e-05
534,2.5742254741846905e-05,2.4855868795247392e-05
535,2.688305374997339e-05,2.6094483158423207e-05
536,2.8979950002122482e-05,2.6652174143113668e-05
537,3.012074901161951e-05,2.7890788505267406e-05
538,3.0944835605540416e-05,2.9533142753466427e-05
539,3.208563461594416e-05,3.077175711552649e-05
540,3.3062257635555945e-05,3.184322437791066e-05
541,3.4203056647448245e-05,3.308183874103709e-05
542,3.5027143240503526e-05,3.4724192987810494e-05
543,3.6167942253303195e-05,3.596280735084184e-05
544,3.670807610895891e-05,3.739120393121128e-05
545,3.7848875118670665e-05,3.862981829487862e-05
546,3.867296170783903e-05,4.027217253948931e-05
547,3.981376071845658e-05,4.151078690306249e-05
548,4.079038373636421e-05,4.2582254172212404e-05
549,4.193118274846956e-05,4.382086853685173e-05
550,4.275526933677484e-05,4.546322278003447e-05
551,4.3896068349786796e-05,4.67018371445779e-05
552,4.5992964591524564e-05,4.725952810707989e-05
553,4.713376360590939e-05,4.849814247060092e-05
554,4.795785019257032e-05,5.0140496709821986e-05
555,4.9098649207860833e-05,5.1379111073247656e-05
556,5.007527222757193e-05,5.2450578347290524e-05
557,5.121607124434883e-05,5.368919271178256e-05
558,5.204015783014581e-05,5.533154694957438e-05
559,5.318095684783041e-05,5.657016131397052e-05
560,5.509859799016721e-05,5.818505334630322e-05
561,5.623939700847777e-05,5.942366771392491e-05
562,5.706348359223477e-05,6.106602195292453e-05
563,5.820428261145167e-05,6.230463632044984e-05
564,5.918090563237241e-05,6.337610360362017e-05
565,6.03217046530764e-05,6.461471797221331e-05
566,6.114579123596853e-05,6.625707220978108e-05
567,6.22865902575781e-05,6.74956865782768e-05
568,6.438348649413951e-05,6.805337751957571e-05
569,6.55242855171194e-05,6.929199188705028e-05
