code,MC1_seed=1,MC1_seed=2
708,-0.022398262,-0.021880752
709,-0.022397601,-0.021880025
710,-0.022396892,-0.021879468
711,-0.02239623,-0.02187874
712,-0.022395428,-0.021877862
713,-0.022394767,-0.021877134
714,-0.022394058,-0.021876577
715,-0.022393397,-0.021875849
716,-0.02239275,-0.021874955
717,-0.022392089,-0.021874227
718,-0.02239138,-0.02187367
719,-0.022390718,-0.021872942
720,-0.022391106,-0.021873408
721,-0.022390444,-0.02187268
722,-0.022389735,-0.021872123
723,-0.022389074,-0.021871395
724,-0.022388428,-0.021870501
725,-0.022387766,-0.021869773
726,-0.022387057,-0.021869216
727,-0.022386396,-0.021868488
728,-0.022385594,-0.02186761
729,-0.022384932,-0.021866882
730,-0.022384224,-0.021866325
731,-0.022383562,-0.021865597
732,-0.022382916,-0.021864703
733,-0.022382254,-0.021863975
734,-0.022381545,-0.021863418
735,-0.022380884,-0.021862691
736,-0.022379126,-0.021865584
737,-0.022378464,-0.021864857
738,-0.022377755,-0.0218643
739,-0.022377094,-0.021863572
740,-0.022376447,-0.021862677
741,-0.022375786,-0.02186195
742,-0.022375077,-0.021861393
743,-0.022374416,-0.021860665
744,-0.022373614,-0.021859787
745,-0.022372952,-0.021859059
746,-0.022372243,-0.021858502
747,-0.022371582,-0.021857774
748,-0.022370936,-0.02185688
749,-0.022370274,-0.021856152
750,-0.022369565,-0.021855595
751,-0.022368904,-0.021854867
752,-0.022369291,-0.021855333
753,-0.02236863,-0.021854605
754,-0.022367921,-0.021854048
755,-0.02236726,-0.02185332
756,-0.022366613,-0.021852426
757,-0.022365952,-0.021851698
758,-0.022365243,-0.021851141
759,-0.022364581,-0.021850413
760,-0.022363779,-0.021849535
761,-0.022363118,-0.021848807
762,-0.022362409,-0.02184825
763,-0.022361748,-0.021847522
764,-0.022361101,-0.021846628
765,-0.02236044,-0.0218459
766,-0.022359731,-0.021845343
767,-0.02235907,-0.021844615
768,-0.022359329,-0.021838577
769,-0.022358668,-0.02183785
770,-0.022357959,-0.021837293
771,-0.022357297,-0.021836565
772,-0.022356651,-0.021835671
773,-0.022355989,-0.021834943
774,-0.02235528,-0.021834386
775,-0.022354619,-0.021833658
776,-0.022353817,-0.02183278
777,-0.022353156,-0.021832052
778,-0.022352447,-0.021831495
779,-0.022351785,-0.021830767
780,-0.022351139,-0.021829873
781,-0.022350477,-0.021829145
782,-0.022349769,-0.021828588
783,-0.022349107,-0.02182786
784,-0.022349494,-0.021828326
785,-0.022348833,-0.021827598
786,-0.022348124,-0.021827041
787,-0.022347463,-0.021826313
788,-0.022346816,-0.021825419
789,-0.022346155,-0.021824691
790,-0.022345446,-0.021824134
791,-0.022344785,-0.021823406
792,-0.022343983,-0.021822528
793,-0.022343321,-0.0218218
794,-0.022342612,-0.021821243
795,-0.022341951,-0.021820515
796,-0.022341304,-0.021819621
797,-0.022340643,-0.021818893
798,-0.022339934,-0.021818336
799,-0.022339273,-0.021817609
800,-0.022337514,-0.021820502
801,-0.022336853,-0.021819775
802,-0.022336144,-0.021819218
803,-0.022335483,-0.02181849
804,-0.022334836,-0.021817595
805,-0.022334175,-0.021816868
806,-0.022333466,-0.021816311
807,-0.022332805,-0.021815583
808,-0.022332003,-0.021814705
809,-0.022331341,-0.021813977
810,-0.022330632,-0.02181342
811,-0.022329971,-0.021812692
812,-0.022329324,-0.021811798
813,-0.022328663,-0.02181107
814,-0.022327954,-0.021810513
815,-0.022327293,-0.021809785
816,-0.02232768,-0.021810251
817,-0.022327019,-0.021809523
818,-0.02232631,-0.021808966
819,-0.022325648,-0.021808238
820,-0.022325002,-0.021807344
821,-0.022324341,-0.021806616
822,-0.022323632,-0.021806059
823,-0.02232297,-0.021805331
824,-0.022322168,-0.021804453
825,-0.022321507,-0.021803725
826,-0.022320798,-0.021803168
827,-0.022320137,-0.02180244
828,-0.02231949,-0.021801546
829,-0.022318829,-0.021800818
830,-0.02231812,-0.021800261
831,-0.022317458,-0.021799534
832,-0.022317903,-0.02179621
833,-0.022317242,-0.021795482
834,-0.022316533,-0.021794925
835,-0.022315871,-0.021794197
836,-0.022315225,-0.021793303
837,-0.022314563,-0.021792575
838,-0.022313855,-0.021792018
839,-0.022313193,-0.021791291
840,-0.022312391,-0.021790412
841,-0.02231173,-0.021789684
842,-0.022311021,-0.021789127
843,-0.022310359,-0.0217884
844,-0.022309713,-0.021787505
845,-0.022309052,-0.021786777
846,-0.022308343,-0.02178622
847,-0.022307681,-0.021785493
848,-0.022308069,-0.021785958
849,-0.022307407,-0.02178523
850,-0.022306698,-0.021784673
851,-0.022306037,-0.021783946
852,-0.02230539,-0.021783051
853,-0.022304729,-0.021782324
854,-0.02230402,-0.021781767
855,-0.022303359,-0.021781039
856,-0.022302557,-0.02178016
857,-0.022301895,-0.021779433
858,-0.022301186,-0.021778876
859,-0.022300525,-0.021778148
860,-0.022299878,-0.021777253
861,-0.022299217,-0.021776526
862,-0.022298508,-0.021775969
863,-0.022297847,-0.021775241
864,-0.022296088,-0.021778135
865,-0.022295427,-0.021777407
866,-0.022294718,-0.02177685
